"Dummy
 Index Numbers","Final Exam Attendance
Present(1)/
Absent(ab)","Mid Exam Marks
(Out of 34)","Mid Exam Marks
(Out of 20)","Final Exam Marks
(Out of 80)","Marks 1 
(Mid+Final)
(Out of 100)","Marks 2
(Final/80*100)
(Out of 100)","Max(Mark 1,Mark 2)
(Out of 100)","Grand Final Marks
After Rounding",,5/26/2023,6/16/2023,6/23/2023,7/7/2023,7/14/2023,8/4/2023,8/18/2023
A1,1,ab,0,1,1,1.25,1.25,1,,1,0,1,1,0,0,0
A2,1,0,0,1,1,1.25,1.25,1,,1,1,0,0,1,0,0
A3,1,4,2.352941176,4,6.352941176,5,6.352941176,6,,1,1,0,0,1,0,0
A4,1,5,2.941176471,5,7.941176471,6.25,7.941176471,8,,1,0,1,0,1,0,0
A5,1,7,4.117647059,4,8.117647059,5,8.117647059,8,,0,1,0,1,0,0,0
A6,1,14,8.235294118,2,10.23529412,2.5,10.23529412,10,,0,0,0,0,1,0,0
A7,1,ab,0,11,11,13.75,13.75,14,,0,0,0,0,0,0,0
A8,1,16,9.411764706,6,15.41176471,7.5,15.41176471,15,,1,0,0,0,0,0,0
A9,1,20,11.76470588,4,15.76470588,5,15.76470588,16,,1,1,1,1,1,0,0
A10,1,23,13.52941176,3,16.52941176,3.75,16.52941176,17,,0,0,0,0,1,0,0
A11,1,11,6.470588235,11,17.47058824,13.75,17.47058824,17,,1,0,0,0,0,0,0
A12,1,12,7.058823529,10,17.05882353,12.5,17.05882353,17,,1,0,0,0,0,1,0
A13,1,17,10,8,18,10,18,18,,0,0,0,0,0,0,0
A14,1,22,12.94117647,6,18.94117647,7.5,18.94117647,19,,1,1,0,1,1,1,1
A15,1,4,2.352941176,15,17.35294118,18.75,18.75,19,,1,1,1,1,1,0,1
A16,1,11,6.470588235,13,19.47058824,16.25,19.47058824,19,,1,1,0,1,1,0,0
A17,1,26,15.29411765,4,19.29411765,5,19.29411765,19,,0,0,0,0,0,0,0
A18,1,17,10,10,20,12.5,20,20,,1,0,0,0,0,0,0
A19,1,10,5.882352941,14,19.88235294,17.5,19.88235294,20,,0,0,0,1,0,0,0
A20,1,13,7.647058824,12,19.64705882,15,19.64705882,20,,1,1,0,0,0,0,0
A21,1,18,10.58823529,10,20.58823529,12.5,20.58823529,21,,1,1,0,0,0,0,0
A22,1,13,7.647058824,14,21.64705882,17.5,21.64705882,22,,1,1,0,1,0,0,0
A23,1,16,9.411764706,13,22.41176471,16.25,22.41176471,22,,1,0,0,0,0,0,0
A24,1,15,8.823529412,13,21.82352941,16.25,21.82352941,22,,1,0,0,1,0,0,0
A25,1,ab,0,18,18,22.5,22.5,23,,1,0,1,0,1,0,0
A26,1,11,6.470588235,17,23.47058824,21.25,23.47058824,23,,1,0,0,0,0,0,0
A27,1,ab,0,19,19,23.75,23.75,24,,0,0,0,0,0,0,0
A28,1,4,2.352941176,19,21.35294118,23.75,23.75,24,,1,0,0,0,1,0,1
A29,1,13,7.647058824,17,24.64705882,21.25,24.64705882,25,,1,1,1,1,1,0,0
A30,1,10,5.882352941,19,24.88235294,23.75,24.88235294,25,,1,1,0,1,0,0,0
A31,1,8,4.705882353,20,24.70588235,25,25,25,,0,1,1,0,0,1,0
A32,1,16,9.411764706,17,26.41176471,21.25,26.41176471,26,,0,1,0,0,0,0,0
A33,1,7,4.117647059,21,25.11764706,26.25,26.25,26,,1,0,0,0,1,0,0
A34,1,21,12.35294118,15,27.35294118,18.75,27.35294118,27,,1,0,0,0,1,0,0
A35,1,16,9.411764706,18,27.41176471,22.5,27.41176471,27,,1,1,1,1,0,0,0
A36,1,31,18.23529412,9,27.23529412,11.25,27.23529412,27,,1,1,1,1,1,1,1
A37,1,23,13.52941176,13,26.52941176,16.25,26.52941176,27,,0,0,1,0,0,0,0
A38,1,22,12.94117647,15,27.94117647,18.75,27.94117647,28,,0,1,0,1,0,0,0
A39,1,9,5.294117647,22,27.29411765,27.5,27.5,28,,1,0,0,1,1,0,0
A40,1,13,7.647058824,20,27.64705882,25,27.64705882,28,,1,1,1,1,1,0,0
A41,1,17,10,18,28,22.5,28,28,,1,0,0,0,1,1,0
A42,1,13,7.647058824,20,27.64705882,25,27.64705882,28,,1,0,0,1,0,0,0
A43,1,23,13.52941176,15,28.52941176,18.75,28.52941176,29,,1,1,0,1,1,1,0
A44,1,24,14.11764706,15,29.11764706,18.75,29.11764706,29,,1,0,0,0,0,1,0
A45,1,19,11.17647059,18,29.17647059,22.5,29.17647059,29,,0,0,0,0,0,0,0
A46,1,23,13.52941176,19,32.52941176,23.75,32.52941176,33,,1,0,1,0,0,0,0
A47,1,28,16.47058824,17,33.47058824,21.25,33.47058824,33,,1,1,0,1,1,0,0
A48,1,18,10.58823529,22,32.58823529,27.5,32.58823529,33,,1,0,1,1,1,0,0
A49,1,23,13.52941176,19,32.52941176,23.75,32.52941176,33,,0,0,0,0,0,0,0
A50,1,20,11.76470588,21,32.76470588,26.25,32.76470588,33,,1,1,1,1,0,0,0
A51,1,19,11.17647059,23,34.17647059,28.75,34.17647059,34,,0,0,0,0,0,0,0
A52,1,10,5.882352941,27,32.88235294,33.75,33.75,34,,1,1,0,0,0,0,0
A53,1,22,12.94117647,21,33.94117647,26.25,33.94117647,34,,1,1,0,0,0,0,0
A54,1,11,6.470588235,28,34.47058824,35,35,35,,1,1,1,1,1,0,0
A55,1,21,12.35294118,23,35.35294118,28.75,35.35294118,35,,1,0,0,1,0,0,0
A56,1,23,13.52941176,21,34.52941176,26.25,34.52941176,35,,1,1,1,1,1,0,0
A57,1,10,5.882352941,28,33.88235294,35,35,35,,0,0,0,1,0,0,0
A58,1,18,10.58823529,24,34.58823529,30,34.58823529,35,,1,0,0,0,0,0,0
A59,1,29,17.05882353,19,36.05882353,23.75,36.05882353,36,,0,1,0,0,0,0,0
A60,1,18,10.58823529,25,35.58823529,31.25,35.58823529,36,,1,1,1,0,0,0,0
A61,1,25,14.70588235,21,35.70588235,26.25,35.70588235,36,,1,1,0,1,0,0,0
A62,1,22,12.94117647,23,35.94117647,28.75,35.94117647,36,,1,1,0,0,0,0,0
A63,1,28,16.47058824,21,37.47058824,26.25,37.47058824,37,,1,0,1,0,1,0,0
A64,1,14,8.235294118,29,37.23529412,36.25,37.23529412,37,,1,0,1,0,0,0,0
A65,1,14,8.235294118,29,37.23529412,36.25,37.23529412,37,,1,0,0,0,0,0,0
A66,1,13,7.647058824,29,36.64705882,36.25,36.64705882,37,,1,0,0,0,0,0,0
A67,1,14,8.235294118,29,37.23529412,36.25,37.23529412,37,,1,0,1,0,0,0,1
A68,1,20,11.76470588,25,36.76470588,31.25,36.76470588,37,,1,0,1,0,0,1,1
A69,1,4,2.352941176,30,32.35294118,37.5,37.5,38,,0,1,0,0,0,0,0
A70,1,26,15.29411765,23,38.29411765,28.75,38.29411765,38,,1,1,0,1,0,1,0
A71,1,22,12.94117647,25,37.94117647,31.25,37.94117647,38,,0,1,0,0,0,0,0
A72,1,14,8.235294118,30,38.23529412,37.5,38.23529412,38,,0,1,0,0,0,0,0
